missing_documents,document_errors,dependencies,inspection_required,application_complexity,days_to_deadline,number_of_requirements,high_risk
2,2,1,1,1,73,8,0
3,0,2,0,1,2,4,1
1,2,0,0,2,112,13,0
3,0,0,0,1,81,10,1
2,0,1,1,3,85,14,0
2,1,4,0,1,60,4,0
2,1,0,0,1,75,4,0
1,1,1,0,3,114,13,1
1,0,1,0,3,1,8,1
1,1,1,1,2,30,12,0
2,0,0,0,3,83,6,0
1,1,1,0,1,15,4,0
3,1,1,1,2,30,9,0
1,0,1,0,1,3,10,0
0,0,1,1,2,7,5,0
0,0,1,0,3,53,4,0
1,0,2,1,3,79,6,0
2,1,0,1,1,12,5,0
0,0,1,0,2,117,14,0
0,1,3,0,3,93,14,0
2,1,1,1,2,79,4,0
1,0,1,1,1,9,9,0
5,1,1,0,2,62,8,1
0,1,0,0,2,110,4,0
0,0,0,0,2,29,11,0
2,1,2,1,2,65,13,1
1,1,1,1,2,68,10,0
1,1,4,0,2,83,14,1
0,1,0,0,2,110,11,0
3,0,2,1,1,16,10,1
1,1,1,1,1,8,14,1
2,0,0,0,2,11,11,0
0,2,0,0,3,32,12,0
0,1,2,0,3,43,12,0
3,1,2,1,1,105,4,0
1,0,1,0,2,62,12,0
1,0,1,0,2,89,12,0
2,0,1,1,2,69,9,0
1,0,0,0,2,114,10,0
1,0,1,0,3,40,13,1
1,1,1,0,1,80,5,0
0,0,0,0,2,33,9,0
0,3,0,0,2,28,12,0
1,0,2,0,2,117,6,0
2,1,3,0,1,3,6,1
1,0,1,0,2,33,4,0
1,1,0,1,1,46,7,0
0,1,0,1,2,17,7,0
1,1,0,0,2,92,14,0
0,1,1,1,2,43,4,0
2,0,1,0,3,55,11,1
2,0,1,1,3,37,4,0
2,3,1,1,2,107,12,1
1,2,4,1,3,51,9,1
4,1,2,1,3,94,8,1
2,0,1,0,1,75,14,0
2,0,2,0,2,114,12,0
0,0,0,0,2,72,5,0
1,2,0,0,2,118,6,0
0,1,2,1,3,84,7,0
1,0,1,0,2,8,10,1
1,0,3,0,1,19,13,0
0,0,0,0,2,94,11,0
2,0,1,1,3,6,8,0
0,0,1,0,2,23,12,0
1,0,0,0,1,95,12,0
3,0,1,1,2,43,4,0
1,1,2,0,2,26,9,1
1,0,0,1,1,24,11,0
1,0,1,0,2,38,10,0
0,0,0,0,1,100,6,0
1,0,1,1,2,55,5,0
0,0,0,0,1,114,7,0
5,1,0,0,1,86,7,1
1,1,0,0,2,32,14,0
0,0,0,1,1,20,10,0
2,0,1,1,1,113,13,0
0,0,1,0,2,108,4,0
0,0,2,0,1,15,12,0
1,0,1,0,1,39,6,0
0,0,1,1,2,89,10,0
0,1,2,0,2,117,8,0
1,0,0,0,2,108,13,0
1,1,2,0,3,34,11,1
0,3,0,1,2,107,9,0
3,0,0,0,2,87,9,0
1,1,0,0,3,56,11,0
1,1,1,1,2,45,11,0
1,0,2,0,3,97,10,0
3,0,2,0,2,100,11,0
3,0,0,0,2,109,12,0
1,0,3,0,3,56,4,0
0,1,2,0,1,32,8,0
2,2,1,0,3,104,13,1
0,0,0,0,2,37,7,0
1,1,1,0,2,90,13,0
0,0,0,1,2,61,10,0
2,2,2,0,1,70,6,0
1,1,0,1,1,25,7,0
0,1,1,0,3,30,9,0
3,1,0,0,2,78,5,0
3,2,0,0,3,31,7,1
3,1,0,0,1,80,11,1
2,1,0,1,1,118,13,0
3,1,1,0,2,10,14,1
2,0,0,1,1,111,8,0
0,0,3,1,2,21,12,0
0,0,0,0,3,17,8,0
3,0,3,1,3,100,12,1
3,1,1,0,2,25,14,0
4,1,2,0,2,78,8,1
1,1,0,0,2,13,10,0
0,1,0,1,2,11,13,0
4,2,0,1,2,24,5,1
1,0,0,1,2,62,6,0
0,0,1,1,1,35,10,0
2,1,0,0,1,27,5,0
2,0,0,1,3,100,12,0
2,1,1,1,2,21,6,1
0,2,4,1,3,12,7,1
1,2,0,0,2,14,12,0
1,1,1,1,2,105,9,0
1,1,1,0,2,57,12,0
0,0,0,1,3,116,10,0
1,0,0,1,1,97,9,0
0,1,2,1,2,34,9,0
1,1,1,0,1,95,12,0
2,0,1,0,1,55,14,1
1,1,0,1,1,67,4,0
3,0,1,1,2,63,9,1
2,1,3,1,3,91,12,1
0,0,2,1,3,25,11,0
1,1,1,0,2,8,9,0
0,1,1,1,2,88,12,0
0,0,2,0,3,114,9,0
1,1,0,0,1,70,5,0
1,0,0,0,3,14,6,0
3,1,0,0,3,14,4,0
1,2,1,0,2,65,11,0
1,1,0,1,1,107,14,0
2,1,1,0,1,74,8,0
1,1,0,1,2,36,12,1
0,0,0,0,3,74,14,0
1,0,2,1,2,19,8,1
1,0,1,0,2,58,13,0
3,0,3,1,2,117,4,1
3,0,5,0,3,75,11,1
2,1,3,0,2,13,5,1
1,2,0,0,1,24,12,0
3,0,0,0,2,8,4,0
0,2,1,0,2,48,13,0
1,1,3,0,2,29,8,0
0,0,0,0,2,117,6,0
0,1,2,1,1,38,10,0
0,1,2,0,3,5,14,0
1,0,2,0,3,52,5,0
1,0,0,0,3,88,7,0
0,0,0,0,3,82,11,0
1,1,0,0,2,117,5,0
1,1,1,1,2,44,14,0
1,1,1,0,2,63,9,0
1,0,2,0,1,67,14,0
0,0,0,0,3,3,8,0
1,1,4,0,1,1,13,1
1,1,1,1,2,95,7,1
1,0,1,0,2,46,8,0
2,0,1,1,3,82,7,0
1,0,0,0,2,113,10,0
2,1,0,1,2,30,6,1
2,2,1,0,2,93,9,1
2,0,1,1,2,26,13,1
0,0,1,0,2,89,5,0
0,0,1,0,2,20,12,0
1,0,0,1,3,37,13,0
0,1,0,1,1,56,4,0
0,3,0,0,2,59,11,0
0,0,1,0,3,4,9,0
1,0,2,0,2,101,11,0
2,0,1,1,2,1,7,1
0,2,0,0,2,105,6,0
2,0,0,0,3,25,7,0
2,0,0,0,1,85,5,0
2,0,0,1,1,85,8,0
2,1,3,0,3,55,13,1
1,0,1,0,2,64,12,0
1,0,0,1,2,9,5,0
1,0,1,0,2,108,10,0
0,0,1,1,2,15,4,0
0,1,1,1,3,79,4,0
1,1,0,0,2,1,10,1
0,0,0,1,3,89,7,0
3,0,1,1,3,43,11,1
2,0,0,0,2,58,5,0
0,0,0,0,2,3,5,0
1,0,2,1,2,27,11,0
2,3,1,0,3,52,6,1
0,1,1,0,2,86,4,0
2,0,1,0,1,72,12,0
3,0,3,1,3,32,11,1
0,0,0,1,2,71,14,0
0,1,1,1,3,27,10,0
1,0,0,0,2,67,9,0
2,1,2,1,2,65,11,1
1,3,1,0,2,27,12,1
1,0,1,1,3,24,10,0
2,1,2,1,1,62,7,0
2,1,0,0,2,70,13,0
3,0,2,0,3,117,11,1
0,0,2,0,3,59,13,0
2,0,2,0,1,53,10,0
0,1,0,1,1,57,8,0
2,1,2,0,2,105,13,1
0,0,2,1,1,37,10,0
1,0,0,0,1,46,12,0
0,0,0,0,2,44,13,0
2,0,2,1,2,75,7,0
3,0,0,0,2,84,6,0
2,0,1,1,2,58,5,1
2,0,1,1,3,32,10,0
3,1,3,0,2,82,12,1
0,0,1,0,3,33,14,0
1,0,1,0,1,107,4,0
2,1,2,1,3,75,4,1
2,0,0,0,3,53,11,0
2,0,0,1,1,28,6,0
2,2,2,1,2,91,9,1
0,0,1,0,2,73,4,0
1,2,1,1,2,106,4,0
0,1,1,0,3,85,9,0
0,1,3,0,2,94,11,0
1,0,0,0,2,11,13,0
1,2,0,1,3,3,9,1
0,1,1,0,1,79,11,0
2,0,0,1,1,1,13,0
0,1,0,0,1,107,8,0
0,0,1,1,3,106,6,0
1,1,1,1,1,70,13,0
0,0,0,1,1,87,4,0
0,0,2,0,2,51,7,0
3,1,1,0,3,115,5,1
0,0,1,0,2,5,11,0
0,1,2,0,3,35,6,0
0,0,0,1,1,84,7,0
6,1,0,0,2,94,11,1
0,0,1,0,2,29,7,0
1,2,1,1,2,96,7,0
0,2,1,0,3,55,9,0
2,1,1,1,2,103,5,1
0,2,0,0,1,32,14,0
0,3,0,0,1,83,14,0
0,0,1,1,1,25,11,0
3,1,0,0,3,17,5,1
1,1,3,1,1,84,9,1
2,1,1,0,3,82,7,0
1,1,2,0,1,35,5,0
1,0,0,0,3,72,13,0
0,0,2,0,3,113,8,0
1,0,1,0,1,40,11,0
1,0,2,0,1,60,11,0
0,1,2,0,3,25,7,0
3,0,1,1,1,62,7,1
1,0,1,0,1,106,14,0
0,0,0,1,3,76,13,0
0,2,1,0,3,17,9,0
4,0,3,1,3,89,9,1
1,0,0,0,3,51,4,0
1,1,2,0,2,3,6,1
0,0,1,0,3,75,4,0
3,0,1,0,2,36,12,1
1,0,1,0,3,116,14,0
0,0,0,0,2,119,5,0
0,0,2,1,2,80,7,0
0,1,1,0,3,76,7,0
1,0,1,1,2,37,12,0
1,1,2,0,2,9,8,0
1,2,2,0,2,8,4,1
0,2,1,0,1,56,10,0
3,0,3,0,2,38,5,0
0,0,1,1,3,115,11,0
2,0,0,0,2,35,13,0
1,2,0,1,2,26,4,0
3,0,0,0,2,98,14,0
2,0,1,0,3,100,11,0
0,0,0,0,3,45,4,0
1,1,1,1,1,10,6,1
0,1,0,0,2,12,5,0
1,1,0,1,2,62,13,0
0,0,0,0,1,104,11,0
1,1,2,0,2,47,8,0
1,0,3,1,2,3,9,1
2,0,1,0,1,45,7,0
1,0,0,1,3,1,8,0
2,0,0,0,3,51,11,0
2,0,0,1,2,57,6,0
2,0,1,0,1,87,12,0
3,1,2,1,3,9,14,1
2,0,0,0,2,58,14,0
1,0,1,1,3,22,5,0
3,0,3,0,1,56,8,1
1,1,2,1,1,118,6,0
1,0,0,1,2,89,10,1
0,0,0,1,3,101,7,0
0,0,2,0,1,5,8,1
2,1,2,0,2,91,5,0
0,0,0,1,2,104,10,0
1,1,3,0,3,80,9,0
2,1,3,1,3,94,10,1
1,0,2,0,3,6,7,1
0,2,1,0,2,88,12,0
0,2,2,0,3,100,10,1
0,1,0,1,2,28,5,0
2,0,0,0,1,57,8,0
3,0,1,0,2,51,11,1
0,1,0,1,2,12,5,0
1,0,2,0,2,16,7,0
2,0,0,1,1,36,13,0
0,0,1,0,3,13,8,0
2,2,1,0,3,60,9,0
3,2,0,0,2,7,11,1
1,0,1,0,3,2,7,1
1,1,1,1,2,75,13,1
0,0,0,0,1,31,4,0
6,2,0,0,1,45,9,1
1,2,1,0,2,40,10,0
1,0,0,1,1,56,6,0
0,1,0,1,2,56,12,0
1,0,1,0,3,16,4,0
0,1,2,0,2,1,11,1
2,1,1,0,3,53,10,1
0,0,2,1,3,68,12,0
1,0,1,0,2,92,6,0
1,0,3,0,1,24,5,0
1,3,2,1,1,10,10,1
2,1,2,0,2,72,14,0
0,0,1,1,2,108,12,0
1,0,0,0,2,29,6,0
2,1,0,1,2,11,8,0
0,2,0,0,2,48,6,0
1,0,2,0,1,67,12,0
2,2,1,0,1,75,9,1
1,2,0,0,2,14,8,1
1,0,2,1,3,79,4,0
2,0,2,0,2,41,10,0
3,0,1,0,2,4,8,1
2,1,0,1,2,110,4,1
1,0,2,0,2,64,6,0
0,0,2,1,1,37,11,0
1,0,0,1,1,98,12,0
3,0,0,0,1,95,9,1
1,1,1,1,1,25,12,0
3,0,1,1,2,115,12,0
1,2,0,1,3,64,10,0
0,0,1,0,1,32,6,0
1,0,2,0,1,54,8,0
0,0,0,1,1,23,12,0
0,0,1,0,1,102,7,0
2,2,2,0,1,32,11,1
2,1,2,0,1,53,13,0
0,0,2,1,1,9,9,1
4,0,0,1,3,113,9,0
1,0,0,1,2,37,6,0
0,1,1,1,1,78,9,0
2,1,2,0,2,43,4,0
1,2,1,1,1,67,5,0
0,0,2,0,2,67,9,0
0,1,2,0,2,35,6,0
1,0,1,0,3,52,7,0
0,1,4,1,3,71,7,0
0,0,1,0,2,26,9,0
0,0,1,0,1,16,11,0
3,0,0,0,2,22,8,0
1,0,0,0,2,50,13,0
3,0,0,0,3,26,9,0
0,0,0,0,1,34,14,0
0,0,0,0,2,82,14,0
1,0,2,0,2,80,8,0
2,1,1,1,2,113,12,1
2,0,1,1,2,91,8,0
0,0,1,1,2,51,13,0
1,1,0,0,2,111,12,0
0,0,2,0,2,110,7,0
2,1,0,0,1,27,7,0
1,3,2,1,1,21,13,1
0,0,0,0,3,106,9,0
1,0,1,0,2,106,11,1
2,3,1,1,2,101,11,1
0,1,2,1,2,55,5,0
0,1,1,0,2,103,6,0
2,0,2,1,2,92,13,1
2,0,0,0,1,89,7,0
1,1,2,0,2,72,13,0
0,0,5,0,2,32,7,0
1,0,1,1,1,89,13,0
1,0,0,0,2,105,10,0
0,1,0,1,1,106,5,0
0,0,1,0,1,72,6,0
1,1,0,1,3,5,14,1
0,0,0,1,3,89,6,0
1,0,3,1,1,31,6,0
1,0,0,1,2,25,5,0
1,0,1,1,1,10,10,1
1,0,2,1,2,19,12,0
2,0,0,0,2,59,14,0
0,3,0,1,3,33,13,1
0,0,1,0,2,46,13,0
1,2,2,0,2,61,13,1
3,0,0,0,3,63,10,0
1,0,1,0,1,50,13,0
1,0,2,0,1,54,10,0
3,0,1,0,2,106,5,1
2,0,3,0,2,34,4,1
2,2,1,1,1,2,5,1
1,0,1,1,2,96,7,0
1,2,0,0,2,10,9,1
0,1,1,1,2,93,11,0
2,1,0,0,3,39,9,0
1,1,0,0,2,101,8,0
3,0,2,1,2,20,12,1
1,0,0,1,2,20,13,0
1,0,0,1,1,49,6,0
2,0,0,0,3,50,6,0
1,0,1,0,3,86,14,0
0,1,0,0,3,78,14,0
0,1,0,1,3,119,7,0
1,2,2,0,2,81,9,1
0,1,2,0,2,25,10,0
2,0,2,0,1,11,10,1
4,0,2,1,3,32,13,1
3,0,0,0,2,118,5,0
0,0,2,1,1,92,9,0
0,0,0,0,3,89,6,0
2,0,0,0,2,33,12,0
3,3,2,0,3,56,10,1
0,0,2,0,3,84,12,0
1,0,0,1,3,113,13,0
2,1,0,1,2,70,12,0
0,0,1,0,2,3,13,1
0,0,0,0,3,102,12,0
2,0,2,0,1,112,10,0
3,0,1,1,1,4,8,1
2,0,2,1,3,47,7,1
0,0,0,1,3,117,7,0
2,2,0,0,3,114,10,1
2,2,1,0,1,115,12,1
1,1,2,1,1,117,8,0
0,1,0,0,3,3,10,0
2,2,0,1,1,18,8,1
1,0,1,1,2,60,10,0
0,0,1,1,2,72,13,0
1,1,1,1,3,48,8,0
1,0,1,0,2,32,8,0
1,1,1,1,1,31,6,0
1,0,0,0,2,72,9,0
1,0,1,1,1,117,9,0
0,0,1,0,2,99,5,0
0,0,1,1,2,21,14,0
0,0,2,1,2,18,13,0
1,0,0,0,2,32,7,0
4,1,1,0,1,88,14,1
3,1,1,0,1,1,6,1
1,1,2,1,3,84,8,0
3,1,0,1,2,70,5,0
1,0,1,0,2,79,10,0
1,0,1,1,2,103,9,0
2,0,2,1,3,71,6,1
0,3,0,1,3,75,7,0
1,2,0,1,1,58,14,0
2,0,1,1,2,78,11,1
1,1,0,1,2,46,5,0
0,0,0,0,3,8,5,0
1,1,2,1,3,4,4,1
0,0,0,0,2,86,6,0
0,0,1,1,3,76,12,1
1,3,2,1,2,49,4,0
6,1,2,1,2,89,6,1
2,0,1,0,2,57,4,0
3,0,2,0,2,31,11,0
1,1,1,0,1,70,12,0
1,0,0,1,2,45,9,0
0,2,2,1,1,117,13,0
0,0,0,0,1,86,11,0
3,0,0,0,3,90,12,0
0,0,1,1,1,82,7,0
0,0,3,0,3,82,13,0
0,0,0,0,2,93,10,0
1,0,3,0,2,52,4,0
3,0,1,1,3,98,4,0
0,2,3,0,3,5,13,1
0,0,0,1,3,80,7,0
0,0,3,0,1,65,9,0
0,0,2,0,2,1,12,1
2,0,0,1,2,79,12,0
1,0,1,1,3,1,4,1
4,0,2,0,3,84,10,1
0,1,0,1,2,63,14,0
0,1,4,1,1,73,7,0
2,0,2,1,1,73,9,0
2,1,0,0,3,36,6,1
1,2,0,0,2,75,11,0
1,0,1,0,3,27,5,0
0,0,2,1,2,91,9,0
1,0,0,1,3,11,8,0
1,0,1,0,3,17,11,0
0,0,2,0,1,84,9,0
1,2,1,0,3,7,14,1
1,0,0,0,2,116,14,0
2,2,0,1,2,4,7,1
1,0,2,0,3,63,4,0
1,3,0,1,2,118,9,1
1,0,0,0,1,81,10,0
3,0,1,1,2,76,12,0
0,0,1,1,3,83,9,0
3,1,1,0,1,85,10,1
3,3,1,1,2,20,4,1
3,1,2,1,2,37,12,1
2,0,1,1,2,23,7,0
2,0,2,0,2,26,8,0
1,2,1,0,2,25,8,0
0,0,1,0,3,76,4,0
3,0,1,1,2,112,9,0
0,0,1,0,3,67,8,0
1,1,1,1,3,2,6,1
0,1,0,0,1,83,6,0
0,0,0,1,3,65,4,0
3,0,1,0,2,93,13,0
0,2,2,0,1,45,7,0
1,0,0,0,2,52,13,0
0,3,0,1,3,79,13,0
0,1,0,1,1,85,9,0
1,1,1,0,2,27,12,1
2,3,0,0,2,70,6,0
2,1,0,1,2,115,5,0
2,2,1,0,3,8,13,1
0,0,2,0,1,40,11,0
1,2,2,1,3,64,11,1
1,1,2,0,3,111,14,0
0,0,2,0,2,116,4,0
1,1,1,0,2,71,5,0
0,1,1,1,1,66,14,0
0,1,0,0,1,50,5,0
1,1,0,1,2,54,8,0
1,0,0,0,1,88,4,0
3,0,1,1,3,65,7,0
6,0,1,0,2,66,5,1
0,2,0,0,1,101,6,0
0,1,0,0,2,17,12,0
1,2,2,0,3,114,7,1
1,0,0,0,1,84,12,0
2,0,0,1,2,70,13,0
0,0,0,1,1,69,9,0
5,1,0,1,3,69,9,1
1,0,1,0,2,68,7,0
2,0,0,1,2,42,11,1
1,1,2,0,2,88,12,1
0,1,2,1,2,31,13,0
0,0,0,1,2,78,6,0
0,0,3,0,1,63,11,0
3,0,1,0,1,44,5,0
0,0,2,1,1,96,9,0
0,2,0,0,2,38,4,0
1,0,2,1,3,79,10,0
1,0,1,1,1,30,13,0
2,0,1,0,3,24,12,0
0,2,1,0,3,69,11,0
1,0,1,0,1,117,10,0
1,1,2,1,1,36,10,0
0,3,0,0,2,14,5,0
2,0,1,0,1,15,12,0
1,1,2,0,3,59,11,0
0,1,1,1,2,94,5,0
2,1,0,1,2,85,10,1
0,1,0,1,2,25,8,0
2,0,0,1,1,100,9,0
1,0,1,1,3,20,12,0
1,0,1,1,2,67,7,0
0,4,1,0,2,102,14,1
1,1,1,0,2,97,8,0
4,1,0,1,1,84,9,0
2,1,0,0,3,40,4,0
2,0,1,0,2,92,5,0
1,0,0,1,3,47,7,0
0,0,2,1,3,42,14,0
1,0,1,0,2,64,6,0
3,0,3,0,2,74,8,1
0,0,1,0,2,25,13,0
0,1,1,0,1,111,7,0
0,1,0,0,3,104,12,0
2,1,2,0,2,34,5,0
2,0,1,1,3,29,5,1
0,1,2,0,2,9,4,1
2,0,0,0,1,49,5,0
3,0,1,1,2,21,10,1
0,0,3,0,1,111,4,0
1,0,2,0,1,107,10,0
2,0,0,0,2,99,10,0
3,1,0,1,1,34,6,0
3,1,1,0,3,83,4,1
1,0,1,0,2,59,5,0
0,0,1,0,2,33,5,0
0,0,0,1,1,64,9,0
1,0,0,1,1,20,14,1
1,2,2,1,2,115,8,1
2,0,1,1,2,20,10,1
2,1,1,0,2,36,7,0
0,0,1,0,2,27,5,0
5,1,0,0,1,63,6,1
2,0,0,0,2,80,9,0
0,0,0,0,2,115,13,0
2,1,0,0,1,47,6,0
2,1,1,1,3,24,14,1
1,0,2,1,1,3,11,1
1,0,2,0,1,72,7,0
3,1,0,0,2,117,10,0
0,1,1,0,2,8,11,0
2,0,1,0,3,119,11,0
0,0,3,0,3,32,13,0
2,0,0,0,3,109,11,0
2,0,2,0,2,9,4,1
1,3,0,1,2,107,8,0
3,0,2,0,1,40,13,1
2,1,1,0,3,33,6,1
0,2,0,0,2,25,9,1
0,2,2,0,2,16,9,0
4,1,1,0,2,96,10,0
1,0,0,1,3,9,13,0
1,0,1,0,2,56,9,0
2,1,0,0,1,113,4,0
1,1,1,1,3,49,6,0
3,0,1,0,1,99,10,1
0,1,0,0,3,83,12,0
0,1,1,1,2,95,11,0
0,2,0,0,3,113,12,1
0,0,1,1,3,12,6,0
0,0,3,0,2,36,5,0
1,2,0,1,3,39,14,0
0,0,2,0,1,8,10,0
3,1,1,1,1,13,12,1
2,1,0,1,2,14,14,1
2,0,2,1,2,114,6,1
1,0,2,1,1,103,13,0
1,0,0,1,2,71,8,0
0,0,3,0,3,101,10,0
0,3,3,0,3,41,8,0
1,0,0,0,1,57,6,0
2,1,1,0,2,106,13,1
1,0,0,0,1,18,7,0
0,0,1,1,1,18,4,1
2,1,3,1,3,63,5,1
1,0,1,1,3,31,14,0
2,1,1,0,1,80,13,0
1,0,0,1,1,76,11,0
3,0,1,1,2,40,12,1
1,1,1,1,2,14,11,1
0,0,0,1,1,10,14,0
0,0,1,0,1,53,5,0
2,1,1,0,2,39,4,0
3,0,2,1,1,5,11,1
2,1,0,1,3,83,14,1
1,0,0,1,3,114,10,0
2,1,1,1,2,117,14,1
1,0,1,1,2,15,8,0
2,1,2,1,3,23,11,1
2,1,1,1,1,52,9,0
0,1,1,1,3,109,13,1
0,1,1,0,1,69,11,0
0,0,0,0,3,55,8,0
2,0,0,0,1,111,6,0
0,1,2,0,3,79,7,0
1,1,0,1,1,118,4,0
1,1,2,1,3,103,5,0
1,2,0,0,2,119,9,0
1,1,3,0,1,67,4,0
1,0,2,0,3,45,9,0
3,0,0,1,1,8,4,0
1,1,1,1,2,87,5,0
0,0,1,0,2,32,11,0
0,1,1,0,3,2,4,0
0,0,0,0,3,96,7,0
4,1,1,0,2,51,6,1
2,0,0,1,3,66,4,0
2,0,1,1,3,94,6,0
5,0,0,0,2,40,5,1
1,0,2,0,2,98,4,0
1,1,2,0,2,70,11,0
1,1,1,0,1,68,5,0
1,0,1,0,2,32,14,0
1,0,1,0,1,94,9,0
0,1,1,0,3,29,8,0
2,0,1,1,2,74,13,0
2,2,2,0,2,99,12,1
